@timestamp,@message
2023-12-08 18:15:30.283,"{'loss': 1.799, 'learning_rate': 7.182910547396529e-05, 'epoch': 1.28}"
2023-12-08 18:13:34.253,"{'loss': 1.7586, 'learning_rate': 7.316421895861149e-05, 'epoch': 1.27}"
2023-12-08 18:11:39.222,"{'loss': 1.8006, 'learning_rate': 7.449933244325769e-05, 'epoch': 1.26}"
2023-12-08 18:09:43.193,"{'loss': 1.8629, 'learning_rate': 7.583444592790388e-05, 'epoch': 1.24}"
2023-12-08 18:07:48.163,"{'loss': 1.8116, 'learning_rate': 7.716955941255008e-05, 'epoch': 1.23}"
2023-12-08 18:05:52.133,"{'loss': 1.7501, 'learning_rate': 7.850467289719626e-05, 'epoch': 1.21}"
2023-12-08 18:03:56.104,"{'loss': 1.8411, 'learning_rate': 7.983978638184246e-05, 'epoch': 1.2}"
2023-12-08 18:02:01.074,"{'loss': 1.8319, 'learning_rate': 8.117489986648865e-05, 'epoch': 1.19}"
2023-12-08 18:00:05.044,"{'loss': 1.742, 'learning_rate': 8.251001335113485e-05, 'epoch': 1.17}"
2023-12-08 17:58:10.015,"{'loss': 1.8198, 'learning_rate': 8.384512683578104e-05, 'epoch': 1.16}"
2023-12-08 17:56:13.986,"{'loss': 1.7926, 'learning_rate': 8.518024032042724e-05, 'epoch': 1.15}"
2023-12-08 17:54:18.956,"{'loss': 1.8365, 'learning_rate': 8.651535380507344e-05, 'epoch': 1.13}"
2023-12-08 17:52:22.927,"{'loss': 1.7746, 'learning_rate': 8.785046728971964e-05, 'epoch': 1.12}"
2023-12-08 17:50:26.898,"{'loss': 1.7938, 'learning_rate': 8.918558077436584e-05, 'epoch': 1.11}"
2023-12-08 17:48:31.869,"{'loss': 1.8237, 'learning_rate': 9.052069425901202e-05, 'epoch': 1.09}"
2023-12-08 17:46:35.840,"{'loss': 1.7677, 'learning_rate': 9.185580774365822e-05, 'epoch': 1.08}"
2023-12-08 17:44:40.811,"{'loss': 1.7116, 'learning_rate': 9.319092122830441e-05, 'epoch': 1.07}"
2023-12-08 17:42:44.781,"{'loss': 1.7937, 'learning_rate': 9.452603471295061e-05, 'epoch': 1.05}"
2023-12-08 17:40:48.751,"{'loss': 1.8537, 'learning_rate': 9.58611481975968e-05, 'epoch': 1.04}"
2023-12-08 17:38:53.722,"{'loss': 1.8294, 'learning_rate': 9.7196261682243e-05, 'epoch': 1.03}"
2023-12-08 17:36:57.692,"{'loss': 1.8056, 'learning_rate': 9.85313751668892e-05, 'epoch': 1.01}"
2023-12-08 17:35:02.663,"{'loss': 1.9528, 'learning_rate': 9.986648865153538e-05, 'epoch': 1.0}"
2023-12-08 17:33:06.634,"{'loss': 1.9105, 'learning_rate': 0.00010120160213618157, 'epoch': 0.99}"
2023-12-08 17:31:11.605,"{'loss': 1.8327, 'learning_rate': 0.00010253671562082778, 'epoch': 0.97}"
2023-12-08 17:29:15.576,"{'loss': 1.8394, 'learning_rate': 0.00010387182910547397, 'epoch': 0.96}"
2023-12-08 17:27:19.546,"{'loss': 1.9021, 'learning_rate': 0.00010520694259012016, 'epoch': 0.95}"
2023-12-08 17:25:24.516,"{'loss': 1.8343, 'learning_rate': 0.00010654205607476636, 'epoch': 0.93}"
2023-12-08 17:23:28.486,"{'loss': 1.8856, 'learning_rate': 0.00010787716955941256, 'epoch': 0.92}"
