@timestamp,@message
2023-11-29 20:15:28.747,"{'loss': 0.0912, 'learning_rate': 1.6682524579765305e-05, 'epoch': 2.75}"
2023-11-29 20:13:16.714,"{'loss': 0.0603, 'learning_rate': 1.699968284173803e-05, 'epoch': 2.75}"
2023-11-29 20:11:04.680,"{'loss': 0.0763, 'learning_rate': 1.731684110371075e-05, 'epoch': 2.74}"
2023-11-29 20:08:52.646,"{'loss': 0.0958, 'learning_rate': 1.7633999365683478e-05, 'epoch': 2.74}"
2023-11-29 20:06:40.612,"{'loss': 0.1133, 'learning_rate': 1.7951157627656202e-05, 'epoch': 2.73}"
2023-11-29 20:04:28.578,"{'loss': 0.0633, 'learning_rate': 1.8268315889628927e-05, 'epoch': 2.73}"
2023-11-29 20:02:16.544,"{'loss': 0.1072, 'learning_rate': 1.858547415160165e-05, 'epoch': 2.72}"
2023-11-29 20:00:05.511,"{'loss': 0.0985, 'learning_rate': 1.8902632413574375e-05, 'epoch': 2.72}"
2023-11-29 19:57:53.478,"{'loss': 0.0703, 'learning_rate': 1.92197906755471e-05, 'epoch': 2.71}"
2023-11-29 19:55:41.444,"{'loss': 0.0849, 'learning_rate': 1.953694893751982e-05, 'epoch': 2.71}"
2023-11-29 19:53:29.409,"{'loss': 0.0823, 'learning_rate': 1.985410719949255e-05, 'epoch': 2.7}"
2023-11-29 19:51:17.376,"{'loss': 0.0671, 'learning_rate': 2.0171265461465273e-05, 'epoch': 2.7}"
2023-11-29 19:49:05.343,"{'loss': 0.0846, 'learning_rate': 2.0488423723437997e-05, 'epoch': 2.69}"
2023-11-29 19:46:53.311,"{'loss': 0.0689, 'learning_rate': 2.0805581985410722e-05, 'epoch': 2.69}"
2023-11-29 19:44:41.277,"{'loss': 0.08, 'learning_rate': 2.1122740247383446e-05, 'epoch': 2.68}"
2023-11-29 19:42:30.245,"{'loss': 0.0938, 'learning_rate': 2.143989850935617e-05, 'epoch': 2.68}"
2023-11-29 19:40:18.212,"{'loss': 0.1087, 'learning_rate': 2.175705677132889e-05, 'epoch': 2.67}"
2023-11-29 19:38:06.179,"{'loss': 0.0663, 'learning_rate': 2.207421503330162e-05, 'epoch': 2.67}"
2023-11-29 19:35:54.145,"{'loss': 0.1144, 'learning_rate': 2.2391373295274344e-05, 'epoch': 2.66}"
2023-11-29 19:33:42.111,"{'loss': 0.1287, 'learning_rate': 2.2708531557247068e-05, 'epoch': 2.66}"
2023-11-29 19:31:30.078,"{'loss': 0.1003, 'learning_rate': 2.3025689819219792e-05, 'epoch': 2.65}"
2023-11-29 19:29:18.045,"{'loss': 0.0849, 'learning_rate': 2.3342848081192517e-05, 'epoch': 2.65}"
2023-11-29 19:27:06.013,"{'loss': 0.0531, 'learning_rate': 2.366000634316524e-05, 'epoch': 2.65}"
2023-11-29 19:24:54.980,"{'loss': 0.1152, 'learning_rate': 2.3977164605137966e-05, 'epoch': 2.64}"
2023-11-29 19:22:42.947,"{'loss': 0.0855, 'learning_rate': 2.429432286711069e-05, 'epoch': 2.64}"
2023-11-29 19:20:30.912,"{'loss': 0.0881, 'learning_rate': 2.4611481129083414e-05, 'epoch': 2.63}"
2023-11-29 19:18:18.878,"{'loss': 0.0863, 'learning_rate': 2.492863939105614e-05, 'epoch': 2.63}"
2023-11-29 19:16:06.844,"{'loss': 0.1131, 'learning_rate': 2.5245797653028863e-05, 'epoch': 2.62}"
2023-11-29 19:13:54.811,"{'loss': 0.0938, 'learning_rate': 2.5562955915001584e-05, 'epoch': 2.62}"
2023-11-29 19:11:42.777,"{'loss': 0.1069, 'learning_rate': 2.5880114176974312e-05, 'epoch': 2.61}"
2023-11-29 19:09:31.744,"{'loss': 0.082, 'learning_rate': 2.6197272438947036e-05, 'epoch': 2.61}"
2023-11-29 19:07:19.711,"{'loss': 0.0727, 'learning_rate': 2.651443070091976e-05, 'epoch': 2.6}"
2023-11-29 19:05:07.679,"{'loss': 0.0655, 'learning_rate': 2.6831588962892485e-05, 'epoch': 2.6}"
2023-11-29 19:02:55.646,"{'loss': 0.0676, 'learning_rate': 2.7148747224865206e-05, 'epoch': 2.59}"
2023-11-29 19:00:43.612,"{'loss': 0.078, 'learning_rate': 2.7465905486837934e-05, 'epoch': 2.59}"
2023-11-29 18:58:31.579,"{'loss': 0.0839, 'learning_rate': 2.7783063748810655e-05, 'epoch': 2.58}"
2023-11-29 18:56:19.546,"{'loss': 0.0902, 'learning_rate': 2.8100222010783383e-05, 'epoch': 2.58}"
2023-11-29 18:54:07.513,"{'loss': 0.0903, 'learning_rate': 2.8417380272756107e-05, 'epoch': 2.57}"
2023-11-29 18:51:56.479,"{'loss': 0.062, 'learning_rate': 2.8734538534728835e-05, 'epoch': 2.57}"
